DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID,Location,TimeOfDayMagnitude,DepthRangeCount,EarthquakeSourceCount
1982/01/23 23:15:51.000,-61.127238000000,133.127794000000,487.410000000000,6.370000000000,Mw,8,138.250000000000,833.620000000000,0.793900000000,CI,477522946,"Asia/Jakarta, Pekanbaru, ID","[{""time"":""00:00"",""magnitude"":3.72},{""time"":""04:00"",""magnitude"":5.03},{""time"":""08:00"",""magnitude"":4.09},{""time"":""12:00"",""magnitude"":5.16},{""time"":""16:00"",""magnitude"":4.8},{""time"":""20:00"",""magnitude"":2.67},{""time"":""24:00"",""magnitude"":2.81}]","[{""range"":""0-10"",""count"":6},{""range"":""11-20"",""count"":0},{""range"":""21-30"",""count"":18},{""range"":""31-40"",""count"":0},{""range"":""41+"",""count"":26}]","[{""name"":""USGS"",""value"":45},{""name"":""NEI"",""value"":47},{""name"":""CI"",""value"":2},{""name"":""Other"",""value"":6}]"
2010/05/15 21:39:34.000,80.992147000000,-43.039391000000,537.120000000000,5.270000000000,Ms,4,28.860000000000,924.560000000000,0.068400000000,NEI,966807376,"Africa/Dar_es_Salaam, Usagara, TZ","[{""time"":""00:00"",""magnitude"":3.75},{""time"":""04:00"",""magnitude"":5.8},{""time"":""08:00"",""magnitude"":3.64},{""time"":""12:00"",""magnitude"":3.93},{""time"":""16:00"",""magnitude"":5.27},{""time"":""20:00"",""magnitude"":5.6},{""time"":""24:00"",""magnitude"":3.47}]","[{""range"":""0-10"",""count"":36},{""range"":""11-20"",""count"":3},{""range"":""21-30"",""count"":7},{""range"":""31-40"",""count"":21},{""range"":""41+"",""count"":32}]","[{""name"":""USGS"",""value"":24},{""name"":""NEI"",""value"":35},{""name"":""CI"",""value"":18},{""name"":""Other"",""value"":23}]"
2010/06/18 17:11:46.000,-21.450406000000,11.815667000000,282.120000000000,8.060000000000,Mw,91,77.360000000000,110.580000000000,0.195300000000,US,1289675279,"Asia/Seoul, T’aebaek, KR","[{""time"":""00:00"",""magnitude"":4.22},{""time"":""04:00"",""magnitude"":2.44},{""time"":""08:00"",""magnitude"":3.38},{""time"":""12:00"",""magnitude"":5.62},{""time"":""16:00"",""magnitude"":3.98},{""time"":""20:00"",""magnitude"":3.17},{""time"":""24:00"",""magnitude"":2.82}]","[{""range"":""0-10"",""count"":13},{""range"":""11-20"",""count"":2},{""range"":""21-30"",""count"":0},{""range"":""31-40"",""count"":33},{""range"":""41+"",""count"":32}]","[{""name"":""USGS"",""value"":39},{""name"":""NEI"",""value"":55},{""name"":""CI"",""value"":4},{""name"":""Other"",""value"":2}]"
1976/01/06 02:14:29.000,-44.897810000000,16.203863000000,428.290000000000,3.970000000000,Mw,45,312.140000000000,810.960000000000,0.559000000000,NEI,508429871,"Europe/Rome, Portogruaro, IT","[{""time"":""00:00"",""magnitude"":3.78},{""time"":""04:00"",""magnitude"":4.29},{""time"":""08:00"",""magnitude"":4.15},{""time"":""12:00"",""magnitude"":4.09},{""time"":""16:00"",""magnitude"":3.94},{""time"":""20:00"",""magnitude"":5.28},{""time"":""24:00"",""magnitude"":4.84}]","[{""range"":""0-10"",""count"":19},{""range"":""11-20"",""count"":44},{""range"":""21-30"",""count"":4},{""range"":""31-40"",""count"":12},{""range"":""41+"",""count"":7}]","[{""name"":""USGS"",""value"":16},{""name"":""NEI"",""value"":82},{""name"":""CI"",""value"":0},{""name"":""Other"",""value"":2}]"
2019/03/14 23:55:07.000,61.900576000000,-145.500373000000,560.300000000000,8.340000000000,Ms,73,275.640000000000,985.920000000000,0.968300000000,AK,200500290,"Europe/Rome, Falconara Marittima, IT","[{""time"":""00:00"",""magnitude"":3.5},{""time"":""04:00"",""magnitude"":3.96},{""time"":""08:00"",""magnitude"":4.94},{""time"":""12:00"",""magnitude"":2.94},{""time"":""16:00"",""magnitude"":3.29},{""time"":""20:00"",""magnitude"":4.15},{""time"":""24:00"",""magnitude"":3.15}]","[{""range"":""0-10"",""count"":4},{""range"":""11-20"",""count"":17},{""range"":""21-30"",""count"":33},{""range"":""31-40"",""count"":8},{""range"":""41+"",""count"":22}]","[{""name"":""USGS"",""value"":3},{""name"":""NEI"",""value"":80},{""name"":""CI"",""value"":12},{""name"":""Other"",""value"":5}]"
1984/05/07 05:46:35.000,-20.255710000000,37.898203000000,600.230000000000,3.440000000000,Mw,51,289.390000000000,343.900000000000,1.438800000000,US,1165126289,"Asia/Manila, Jagna, PH","[{""time"":""00:00"",""magnitude"":2.98},{""time"":""04:00"",""magnitude"":3.6},{""time"":""08:00"",""magnitude"":3.17},{""time"":""12:00"",""magnitude"":4.42},{""time"":""16:00"",""magnitude"":5.15},{""time"":""20:00"",""magnitude"":4.15},{""time"":""24:00"",""magnitude"":5.65}]","[{""range"":""0-10"",""count"":38},{""range"":""11-20"",""count"":45},{""range"":""21-30"",""count"":7},{""range"":""31-40"",""count"":24},{""range"":""41+"",""count"":12}]","[{""name"":""USGS"",""value"":12},{""name"":""NEI"",""value"":87},{""name"":""CI"",""value"":0},{""name"":""Other"",""value"":1}]"
1978/08/31 11:15:04.000,6.824402000000,-124.923522000000,289.340000000000,4.070000000000,Mb,73,152.130000000000,296.440000000000,0.604600000000,NEI,69184347,"Asia/Shanghai, Wacheng, CN","[{""time"":""00:00"",""magnitude"":5.14},{""time"":""04:00"",""magnitude"":4.88},{""time"":""08:00"",""magnitude"":4.48},{""time"":""12:00"",""magnitude"":4.81},{""time"":""16:00"",""magnitude"":3.82},{""time"":""20:00"",""magnitude"":5.53},{""time"":""24:00"",""magnitude"":5.39}]","[{""range"":""0-10"",""count"":24},{""range"":""11-20"",""count"":17},{""range"":""21-30"",""count"":0},{""range"":""31-40"",""count"":31},{""range"":""41+"",""count"":46}]","[{""name"":""USGS"",""value"":8},{""name"":""NEI"",""value"":91},{""name"":""CI"",""value"":0},{""name"":""Other"",""value"":1}]"
2021/11/15 23:34:12.000,52.906252000000,146.629988000000,596.970000000000,7.750000000000,Ms,65,276.130000000000,589.430000000000,1.237100000000,US,1431219318,"America/Mexico_City, Zacoalco de Torres, MX","[{""time"":""00:00"",""magnitude"":4},{""time"":""04:00"",""magnitude"":4.67},{""time"":""08:00"",""magnitude"":4.85},{""time"":""12:00"",""magnitude"":3.42},{""time"":""16:00"",""magnitude"":2.37},{""time"":""20:00"",""magnitude"":2.09},{""time"":""24:00"",""magnitude"":2.59}]","[{""range"":""0-10"",""count"":14},{""range"":""11-20"",""count"":19},{""range"":""21-30"",""count"":7},{""range"":""31-40"",""count"":5},{""range"":""41+"",""count"":28}]","[{""name"":""USGS"",""value"":30},{""name"":""NEI"",""value"":28},{""name"":""CI"",""value"":26},{""name"":""Other"",""value"":16}]"
2002/07/14 19:54:52.000,19.677972000000,-30.452964000000,143.380000000000,4.080000000000,Mb,49,312.120000000000,37.420000000000,1.409400000000,NEI,266592240,"Asia/Shanghai, Xinzhou, CN","[{""time"":""00:00"",""magnitude"":4.95},{""time"":""04:00"",""magnitude"":5.23},{""time"":""08:00"",""magnitude"":5.44},{""time"":""12:00"",""magnitude"":5.4},{""time"":""16:00"",""magnitude"":5.42},{""time"":""20:00"",""magnitude"":3.65},{""time"":""24:00"",""magnitude"":3.41}]","[{""range"":""0-10"",""count"":4},{""range"":""11-20"",""count"":32},{""range"":""21-30"",""count"":30},{""range"":""31-40"",""count"":32},{""range"":""41+"",""count"":22}]","[{""name"":""USGS"",""value"":27},{""name"":""NEI"",""value"":17},{""name"":""CI"",""value"":41},{""name"":""Other"",""value"":15}]"
2000/03/31 09:40:36.000,-5.698632000000,-146.959649000000,64.380000000000,6.500000000000,Mw,55,132.540000000000,165.510000000000,0.517900000000,AK,636522547,"Asia/Damascus, Binnish, SY","[{""time"":""00:00"",""magnitude"":3.63},{""time"":""04:00"",""magnitude"":5.61},{""time"":""08:00"",""magnitude"":3.23},{""time"":""12:00"",""magnitude"":3.64},{""time"":""16:00"",""magnitude"":4.98},{""time"":""20:00"",""magnitude"":4.05},{""time"":""24:00"",""magnitude"":4.47}]","[{""range"":""0-10"",""count"":31},{""range"":""11-20"",""count"":11},{""range"":""21-30"",""count"":20},{""range"":""31-40"",""count"":16},{""range"":""41+"",""count"":6}]","[{""name"":""USGS"",""value"":30},{""name"":""NEI"",""value"":14},{""name"":""CI"",""value"":32},{""name"":""Other"",""value"":24}]"
